# To display the perf.data header info, please use --header/--header-only options.
#
# comm: LU_decompositio
#
# Total Lost Samples: 0
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6692295655
#
# Overhead  Shared Object            Symbol                                                                                                                                                                 
# ........  .......................  .......................................................................................................................................................................
#
     0.04%  LU_decomposition.native  [.] mmtk::util::alloc::allocator::Allocator::alloc_slow_inline
     0.04%  LU_decomposition.native  [.] mmtk_ocaml_try_mark_running
     0.04%  [unknown]                [k] 0xffffffffa96c2c52
     0.04%  [unknown]                [k] 0xffffffffa99550d0
     0.04%  [unknown]                [k] 0xffffffffa96d9950
     0.04%  [unknown]                [k] 0xffffffffaa932947
     0.04%  LU_decomposition.native  [.] caml_memprof_run_callbacks_res
     0.04%  LU_decomposition.native  [.] mmtk_ocaml_gc_count
     0.04%  [unknown]                [k] 0xffffffffa92001ba
     0.04%  [unknown]                [k] 0xffffffffa9a246cb
     0.04%  LU_decomposition.native  [.] <std::sync::nonpoison::condvar::Condvar>::notify_all
     0.04%  [unknown]                [k] 0xffffffffa977c165
     0.04%  [unknown]                [k] 0xffffffffa96bb02e
     0.04%  [unknown]                [k] 0xffffffffa9200b90
     0.04%  LU_decomposition.native  [.] alloc::vec::Vec<T,A>::extend_with
     0.04%  [unknown]                [k] 0xffffffffa998563b
     0.03%  [unknown]                [k] 0xffffffffa998730f


#
# (Cannot load tips.txt file, please install perf!)
#
